Cr,1/T,ln(t),DO,weightgain
12.951,0.001214845,5.298317367,200,1
12.951,0.001214845,5.991464547,200,1
12.951,0.001214845,6.396929655,200,1
12.951,0.001214845,6.684611728,200,1
12.951,0.001214845,6.907755279,200,1
14.11,0.00129341,4.605170186,8000,-1
14.11,0.00129341,5.521460918,8000,1
14.11,0.00129341,6.214608098,8000,1
14.11,0.00129341,6.907755279,8000,1
16.73,0.00129341,5.298317367,0,-1
16.73,0.00129341,5.991464547,0,-1
16.73,0.00129341,6.396929655,0,-1
16.73,0.00129341,6.684611728,0,-1
16.73,0.00129341,6.907755279,0,-1
17.0882,0.001214845,4.700480366,0,-1
17.0882,0.001214845,5.298317367,100,-1
17.0882,0.001214845,6.131226489,0,-1
17.0882,0.001214845,6.396929655,0,-1
17.0882,0.001214845,5.298317367,300,-1
17.0882,0.001214845,5.991464547,100,-1
17.0882,0.001214845,6.65929392,0,-1
17.0882,0.001214845,5.991464547,300,-1
17.0882,0.001214845,6.907755279,0,-1
17.0882,0.001214845,6.396929655,100,1
17.0882,0.001214845,5.298317367,2000,1
17.0882,0.001214845,6.684611728,100,1
17.0882,0.001214845,6.907755279,100,1
17.0882,0.001214845,6.396929655,300,1
17.0882,0.001214845,5.991464547,2000,1